2017-07-20 01:39:43,469 [AWT-EventQueue-0] INFO  marytts.main Mary starting up...
2017-07-20 01:39:43,484 [AWT-EventQueue-0] INFO  marytts.main Specification version 5.2
2017-07-20 01:39:43,484 [AWT-EventQueue-0] INFO  marytts.main Implementation version unknown
2017-07-20 01:39:43,484 [AWT-EventQueue-0] INFO  marytts.main Running on a Java 1.8.0_131 implementation by Oracle Corporation, on a Windows 10 platform (amd64, 10.0)
2017-07-20 01:39:43,687 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2017-07-20 01:39:43,687 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2017-07-20 01:39:43,687 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2017-07-20 01:39:43,687 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2017-07-20 01:39:43,687 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2017-07-20 01:39:43,703 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2017-07-20 01:39:43,703 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2017-07-20 01:39:43,703 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2017-07-20 01:39:43,703 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2017-07-20 01:39:43,703 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2017-07-20 01:39:43,703 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2017-07-20 01:39:43,703 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2017-07-20 01:39:43,703 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2017-07-20 01:39:43,719 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2017-07-20 01:39:43,734 [AWT-EventQueue-0] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
